budget_item_id;category;sub_category;description;quantity;unit;unit_cost_try;subtotal_try;contingency_pct;contingency_try;total_try;approval_status;paid_status;scene_ids;location_id;supply_method;usage_purpose;producer_note;notes
B-024;🎒 Aksesuar & Dekor Bütçesi;Aksesuar (Prop);Dövüş kıyafetleri (şort/tişört) (Sanat & Aksesuar);1;adet;1200;1200;0;0;1200;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Dövüş kıyafetleri (şort/tişört) (Sanat & Aksesuar) için kullanım.;;dependency_changed=manual
B-025;🎒 Aksesuar & Dekor Bütçesi;Aksesuar (Prop);Küçük ilaç kutusu / hap (Sanat & Aksesuar);1;adet;1200;1200;0;0;1200;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Küçük ilaç kutusu / hap (Sanat & Aksesuar) için kullanım.;;dependency_changed=manual
B-026;🎒 Aksesuar & Dekor Bütçesi;Aksesuar (Prop);Kırık ayna ve makyaj malzemeleri (Sanat & Aksesuar);1;adet;1200;1200;0;0;1200;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Kırık ayna ve makyaj malzemeleri (Sanat & Aksesuar) için kullanım.;;dependency_changed=manual
B-027;🎒 Aksesuar & Dekor Bütçesi;Aksesuar (Prop);Siyah göz kalemi (Sanat & Aksesuar);1;adet;1200;1200;0;0;1200;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Siyah göz kalemi (Sanat & Aksesuar) için kullanım.;;dependency_changed=manual
B-028;🎒 Aksesuar & Dekor Bütçesi;Aksesuar (Prop);Benzin fişi (Sanat & Aksesuar);1;adet;1200;1200;0;0;1200;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Benzin fişi (Sanat & Aksesuar) için kullanım.;;dependency_changed=manual
B-029;🎒 Aksesuar & Dekor Bütçesi;Aksesuar (Prop);Aseton ve pamuk (Sanat & Aksesuar);1;adet;1200;1200;0;0;1200;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Aseton ve pamuk (Sanat & Aksesuar) için kullanım.;;dependency_changed=manual
B-030;👗 Kostüm & Makyaj Bütçesi;Kostüm;İç çamaşırı Hazırlığı;1;adet;1500;1500;0;0;1500;NEEDS_APPROVAL;UNPAID;;;Satın Alma;İç çamaşırı Hazırlığı için kullanım.;;dependency_changed=manual
B-031;👗 Kostüm & Makyaj Bütçesi;Kostüm;gece kıyafeti Hazırlığı;1;adet;1500;1500;0;0;1500;NEEDS_APPROVAL;UNPAID;;;Satın Alma;gece kıyafeti Hazırlığı için kullanım.;;dependency_changed=manual
B-032;👗 Kostüm & Makyaj Bütçesi;Kostüm;Dövüş şortu ve atlet Hazırlığı;1;adet;1500;1500;0;0;1500;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Dövüş şortu ve atlet Hazırlığı için kullanım.;;dependency_changed=manual
B-033;👗 Kostüm & Makyaj Bütçesi;Kostüm;yıpranmış kot tulum ve şapka/kapüşonlu ceket Hazırlığı;1;adet;1500;1500;0;0;1500;NEEDS_APPROVAL;UNPAID;;;Satın Alma;yıpranmış kot tulum ve şapka/kapüşonlu ceket Hazırlığı için kullanım.;;dependency_changed=manual
B-034;👗 Kostüm & Makyaj Bütçesi;Kostüm;Hande: Voleybol Milli Takımı forması (arkasında Hande yazılı) Hazırlığı;1;adet;1500;1500;0;0;1500;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Hande: Voleybol Milli Takımı forması (arkasında Hande yazılı) Hazırlığı için kullanım.;;dependency_changed=manual
B-035;👗 Kostüm & Makyaj Bütçesi;Kostüm;Dövmeli: Karmaşık vücut dövmeleri Hazırlığı;1;adet;1500;1500;0;0;1500;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Dövmeli: Karmaşık vücut dövmeleri Hazırlığı için kullanım.;;dependency_changed=manual
B-036;👗 Kostüm & Makyaj Bütçesi;Kostüm;kirli görünüm Hazırlığı;1;adet;1500;1500;0;0;1500;NEEDS_APPROVAL;UNPAID;;;Satın Alma;kirli görünüm Hazırlığı için kullanım.;;dependency_changed=manual
B-037;👗 Kostüm & Makyaj Bütçesi;Kostüm;Özgü: Çiçekli elbise -> Dövüş şortu ve tişörtü Hazırlığı;1;adet;1500;1500;0;0;1500;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Özgü: Çiçekli elbise -> Dövüş şortu ve tişörtü Hazırlığı için kullanım.;;dependency_changed=manual
B-038;👗 Kostüm & Makyaj Bütçesi;Kostüm;kan efektleri. Dövmeli: Kovboy botları Hazırlığı;1;adet;1500;1500;0;0;1500;NEEDS_APPROVAL;UNPAID;;;Satın Alma;kan efektleri. Dövmeli: Kovboy botları Hazırlığı için kullanım.;;dependency_changed=manual
B-039;👗 Kostüm & Makyaj Bütçesi;Kostüm;yoğun vücut dövmeleri Hazırlığı;1;adet;1500;1500;0;0;1500;NEEDS_APPROVAL;UNPAID;;;Satın Alma;yoğun vücut dövmeleri Hazırlığı için kullanım.;;dependency_changed=manual
B-040;👗 Kostüm & Makyaj Bütçesi;Kostüm;kan efektleri. Hazırlığı;1;adet;1500;1500;0;0;1500;NEEDS_APPROVAL;UNPAID;;;Satın Alma;kan efektleri. Hazırlığı için kullanım.;;dependency_changed=manual
B-041;🥊 Oyuncu Kaşeleri Bütçesi;Oyuncu;CEM Oyuncu Kaşesi;1;day;10000;10000;0;0;10000;NEEDS_APPROVAL;UNPAID;;;Satın Alma;CEM Oyuncu Kaşesi için kullanım.;;dependency_changed=manual
B-042;🥊 Oyuncu Kaşeleri Bütçesi;Oyuncu;YILDIZ Oyuncu Kaşesi;1;day;10000;10000;0;0;10000;NEEDS_APPROVAL;UNPAID;;;Satın Alma;YILDIZ Oyuncu Kaşesi için kullanım.;;dependency_changed=manual
B-043;🥊 Oyuncu Kaşeleri Bütçesi;Oyuncu;ÖZGÜ Oyuncu Kaşesi;1;day;10000;10000;0;0;10000;NEEDS_APPROVAL;UNPAID;;;Satın Alma;ÖZGÜ Oyuncu Kaşesi için kullanım.;;dependency_changed=manual
B-044;🥊 Oyuncu Kaşeleri Bütçesi;Oyuncu;EMİN Oyuncu Kaşesi;1;day;10000;10000;0;0;10000;NEEDS_APPROVAL;UNPAID;;;Satın Alma;EMİN Oyuncu Kaşesi için kullanım.;;dependency_changed=manual
B-045;🥊 Oyuncu Kaşeleri Bütçesi;Oyuncu;KAPÜŞONLU PASPASÇI Oyuncu Kaşesi;1;day;10000;10000;0;0;10000;NEEDS_APPROVAL;UNPAID;;;Satın Alma;KAPÜŞONLU PASPASÇI Oyuncu Kaşesi için kullanım.;;dependency_changed=manual
B-046;🥊 Oyuncu Kaşeleri Bütçesi;Oyuncu;HANDE Oyuncu Kaşesi;1;day;10000;10000;0;0;10000;NEEDS_APPROVAL;UNPAID;;;Satın Alma;HANDE Oyuncu Kaşesi için kullanım.;;dependency_changed=manual
B-047;🥊 Oyuncu Kaşeleri Bütçesi;Oyuncu;DEDE Oyuncu Kaşesi;1;day;10000;10000;0;0;10000;NEEDS_APPROVAL;UNPAID;;;Satın Alma;DEDE Oyuncu Kaşesi için kullanım.;;dependency_changed=manual
B-048;🥊 Oyuncu Kaşeleri Bütçesi;Oyuncu;DÖVMELİ Oyuncu Kaşesi;1;day;10000;10000;0;0;10000;NEEDS_APPROVAL;UNPAID;;;Satın Alma;DÖVMELİ Oyuncu Kaşesi için kullanım.;;dependency_changed=manual
B-049;🥊 Oyuncu Kaşeleri Bütçesi;Oyuncu;KAPÜŞONLU GÖLGE Oyuncu Kaşesi;1;day;10000;10000;0;0;10000;NEEDS_APPROVAL;UNPAID;;;Satın Alma;KAPÜŞONLU GÖLGE Oyuncu Kaşesi için kullanım.;;dependency_changed=manual
B-050;🎥 Ekipman & Işık/Kamera Bütçesi;Kamera Seti;RED / ARRI Kamera Seti & Lens Paket Kiralama;1;day;25000;25000;0;0;25000;NEEDS_APPROVAL;UNPAID;;;Satın Alma;RED / ARRI Kamera Seti & Lens Paket Kiralama için kullanım.;;dependency_changed=manual
B-051;📍 Mekân Kiralama Bütçesi;Yeni Kalem;İhtiyaç açıklaması;1;adet;1000;1000;0;0;1000;NEEDS_APPROVAL;UNPAID;;;Satın Alma;İlgili sahne gereksinimi için.;;dependency_changed=manual
B-052;🎥 Ekipman & Işık/Kamera Bütçesi;Yeni Kalem;İhtiyaç açıklaması;1;adet;1000;1000;0;0;1000;NEEDS_APPROVAL;UNPAID;;;Satın Alma;İlgili sahne gereksinimi için.;;dependency_changed=manual
