element_id;element_type;name;scene_ids;department;character_or_use;quantity;continuity_requirements;source_or_vendor;cost_estimate_try;availability;permission_or_release;research_ids;evidence_ids;status;notes
EL-028;PROP;Nakit para;;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-029;WARDROBE_MAKEUP;Hande: Voleybol Milli Takımı forması (arkasında Hande yazılı);;WARDROBE_MAKEUP;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-030;SET_DRESSING;Duvarda karakalem voleybol filesi çizimi, market kasası;;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-031;CAST;DÖVMELİ;;CAST;Motorlu Saldırgan;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-032;PROP;Motosiklet;;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-033;PROP;Küçük hap kutusu / ilaç;;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-034;WARDROBE_MAKEUP;Dövmeli: Karmaşık vücut dövmeleri, kirli görünüm;;WARDROBE_MAKEUP;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-035;PROP;Kadın çantası;;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-036;PROP;Dövüş kıyafetleri (şort/tişört);;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-037;PROP;Küçük ilaç kutusu / hap;;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-038;PROP;Kırık ayna ve makyaj malzemeleri;;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-039;WARDROBE_MAKEUP;Özgü: Çiçekli elbise -> Dövüş şortu ve tişörtü, kan efektleri. Dövmeli: Kovboy botları, yoğun vücut dövmeleri, kan efektleri.;;WARDROBE_MAKEUP;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-040;SET_DRESSING;Aynalar, lavabolar, tuvalet kabinleri, kan efektleri;;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-041;CAST;KAPÜŞONLU GÖLGE;;CAST;Gölge Karakter;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-042;PROP;Siyah göz kalemi;;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-043;PROP;Benzin fişi;;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-044;PROP;Aseton ve pamuk;;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-045;SET_DRESSING;Pompa makinesi, kamera servis aracı;;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-046;PROP;makas;;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
